Zip,disaster_count,Low_Preparedness_Percentage,Signup_Rate
95221,22,16.666667,7.83
95232,22,2.5,4.55
95629,21,3.448276,5.31
95629,27,3.448276,5.31
95910,16,25.0,8.61
95970,19,2.898551,5.18
95970,21,2.898551,5.18
96015,17,2.857143,5.15
96046,32,2.857143,4.76
96074,25,5.263158,5.36
96078,25,7.142857,5.65
96092,25,2.5,4.61
